user_id,age,sex,last_month_salary
1,55,F,2200
2,44,M,7499
3,54,M,5900
4,54,F,2167
5,42,M,10415
6,63,F,4368
7,76,M,1700
8,55,M,15658
9,41,M,8441
10,49,F,200
11,56,M,6400
12,77,M,
13,66,F,2150
14,41,M,10749
15,64,M,7083
16,69,F,5188
17,79,M,10500
18,73,F,3922
19,51,F,
20,42,M,
21,65,F,5000
22,75,M,0
23,41,M,
24,53,F,9939
25,59,M,7930
26,55,F,5562
27,76,M,2500
28,56,M,2835
29,43,M,5833
30,31,F,8160
31,74,M,
32,67,M,6862
33,63,F,
34,62,M,
35,57,M,
36,72,F,
37,69,M,
38,67,F,4453
39,50,F,
40,49,M,5866
41,62,F,6500
42,34,M,5800
43,59,M,5416
44,46,F,3732
45,54,M,
46,73,F,
47,49,M,8900
48,53,M,4166
49,83,M,4694
50,34,F,1000
51,65,M,3750
52,72,M,5866
53,84,F,3001
54,71,M,6000
55,56,M,12000
56,41,F,
57,45,M,
58,65,F,
59,57,F,
60,50,M,5000
61,49,F,6600
62,88,M,
63,79,M,4273
64,48,F,15000
65,37,M,6232
66,59,F,3213
67,55,M,10916
68,47,M,5560
69,23,M,
70,56,F,6860
71,54,M,0
72,69,M,3668
73,52,F,5115
74,76,M,5000
75,46,M,12040
76,76,F,2714
77,70,M,7500
78,67,F,
79,56,F,5583
80,37,M,
81,51,F,11000
82,43,M,1333
83,79,M,2600
84,43,F,4000
85,45,M,5666
86,38,F,4583
87,28,M,5500
88,44,M,51140
89,43,M,9166
90,58,F,
91,80,M,6500
92,25,M,5000
93,40,F,
94,52,M,3000
95,27,M,2800
96,28,F,3500
97,59,M,8110
98,45,F,5600
99,23,F,2200
100,62,M,
101,45,F,5200
102,90,M,7083
103,64,M,
104,43,F,5708
105,51,M,13455
106,63,F,
107,37,M,12996
108,83,M,2000
109,63,M,
110,89,F,3400
111,50,M,15000
112,40,M,5600
113,50,F,4667
114,49,M,4000
115,63,M,2500
116,47,F,
117,45,M,10483
118,62,F,
119,63,F,9500
120,39,M,
121,54,F,3600
122,64,M,32000
123,43,M,8804
124,45,F,
125,43,M,
126,43,F,8500
127,53,M,9100
128,38,M,12800
129,57,M,6667
130,31,F,
131,35,M,
132,56,M,
133,52,F,4500
134,39,M,2608
135,109,M,
136,50,F,7000
137,46,M,10000
138,54,F,3800
139,43,F,
140,37,M,6833
141,64,F,30452
142,49,M,4320
143,40,M,5000
144,54,F,
145,69,M,6477
146,80,F,
147,54,M,4930
148,44,M,3666
149,78,M,
150,39,F,8452
151,59,M,15000
152,45,M,2383
153,49,F,8400
154,45,M,4300
155,44,M,1000
156,42,F,2000
157,68,M,10000
158,62,F,1500
159,32,F,10630
160,63,M,
161,25,F,4166
162,33,M,2716
163,57,M,9166
164,62,F,17750
165,59,M,10300
166,64,F,
167,39,M,5916
168,56,M,2720
169,79,M,
170,40,F,1600
171,59,M,7000
172,50,M,5596
173,60,F,8136
174,51,M,24020
175,51,M,10728
176,72,F,4083
177,46,M,3700
178,63,F,
179,42,F,18000
180,66,M,8000
181,73,F,26500
182,51,M,
183,82,M,2607
184,46,F,2000
185,37,M,6777
186,55,F,
187,63,M,
188,63,M,4153
189,33,M,3333
190,47,F,9000
191,54,M,
192,82,M,9049
193,37,F,5417
194,52,M,
195,52,M,
196,53,F,5822
197,41,M,8350
198,42,F,7000
199,53,F,6300
200,40,M,3600
201,47,F,5200
202,44,M,8500
203,35,M,10000
204,34,F,4810
205,80,M,
206,61,F,
207,54,M,
208,47,M,
209,67,M,
210,64,F,4272
211,71,M,5116
212,56,M,7000
213,66,F,887
214,76,M,
215,50,M,
216,29,F,3975
217,48,M,6000
218,25,F,
219,34,F,1800
220,40,M,3750
221,68,F,3500
222,51,M,12500
223,23,M,1200
224,54,F,17433
225,45,M,17000
226,68,F,10772
227,56,M,12500
228,47,M,6500
229,57,M,8183
230,63,F,7427
231,77,M,1772
232,46,M,5000
233,53,F,2400
234,50,M,15000
235,38,M,10666
236,54,F,2474
237,54,M,4884
238,41,F,
239,57,F,9166
240,37,M,8584
241,41,F,4828
242,51,M,10000
243,42,M,
244,60,F,6284
245,78,M,12855
246,47,F,5533
247,51,M,2500
248,59,M,12451
249,75,M,
250,63,F,
251,48,M,10500
252,23,M,800
253,35,F,3500
254,41,M,12500
255,77,M,
256,70,F,3139
257,66,M,3710
258,46,F,6000
259,35,F,3333
260,59,M,6150
261,74,F,
262,27,M,1500
263,41,M,8000
264,40,F,
265,61,M,12814
266,43,F,
267,45,M,2145
268,88,M,0
269,38,M,8000
270,67,F,3855
271,77,M,4000
272,35,M,3200
273,24,F,2000
274,53,M,4440
275,60,M,10416
276,42,F,
277,47,M,
278,56,F,10000
279,64,F,981
280,21,M,4000
281,64,F,5352
282,41,M,11600
283,59,M,2539
284,88,F,1316
285,51,M,6500
286,35,F,6473
287,60,M,
288,49,M,
289,76,M,2500
290,65,F,5000
291,61,M,4500
292,83,M,1972
293,63,F,13740
294,61,M,10500
295,27,M,1160
296,24,F,800
297,38,M,3000
298,63,F,
299,46,F,3001
300,39,M,7700
301,62,F,9166
302,38,M,44574
303,44,M,9283
304,64,F,3139
305,27,M,2500
306,48,F,10833
307,31,M,4150
308,47,M,5502
309,81,M,
310,66,F,7500
311,74,M,10119
312,69,M,1630
313,44,F,4166
314,62,M,23000
315,48,M,6110
316,50,F,125
317,75,M,4240
318,49,F,1702
319,45,F,1
320,58,M,5000
321,52,F,8000
322,50,M,2800
323,34,M,6250
324,36,F,
325,55,M,4100
326,57,F,25473
327,48,M,2924
328,70,M,4237
329,33,M,11372
330,47,F,9000
331,27,M,1280
332,32,M,
333,48,F,9023
334,39,M,6400
335,62,M,5500
336,48,F,5500
337,23,M,820
338,59,F,6000
339,44,F,2666
340,62,M,4000
341,67,F,5000
342,65,M,3000
343,50,M,3300
344,66,F,
345,45,M,11900
346,59,F,45000
347,67,M,4000
348,41,M,3916
349,52,M,8916
350,53,F,7500
351,64,M,
352,62,M,
353,59,F,4200
354,43,M,8500
355,64,M,
356,51,F,
357,67,M,11300
358,41,F,
359,63,F,3500
360,60,M,2000
361,48,F,5800
362,60,M,7800
363,61,M,
364,53,F,7116
365,60,M,4500
366,29,F,3750
367,63,M,
368,31,M,9165
369,47,M,8916
370,49,F,7800
371,52,M,13587
372,53,M,1400
373,52,F,8902
374,47,M,6224
375,41,M,8328
376,55,F,5000
377,57,M,
378,40,F,2700
379,52,F,2540
380,34,M,4200
381,31,F,5800
382,68,M,12000
383,44,M,10332
384,70,F,2083
385,54,M,851
386,53,F,2337
387,54,M,15000
388,80,M,4000
389,57,M,
390,38,F,3433
391,43,M,5000
392,39,M,3500
393,40,F,
394,52,M,6600
395,46,M,3340
396,43,F,5000
