user_id,sex,age,age_category,dependents_c,last_month_salary_c
1,F,55,50-59,0,2200
2,M,44,40-49,0,7499
3,M,54,50-59,0,5900
4,F,54,50-59,0,2167
5,M,42,40-49,2,10415
6,F,63,60-69,0,4368
7,M,76,70-79,0,1700
8,M,55,50-59,0,15658
9,M,41,40-49,0,8441
10,F,49,40-49,0,200
11,M,56,50-59,1,6400
12,M,77,70-79,0,5598
13,F,66,60-69,1,2150
14,M,41,40-49,0,10749
15,M,64,60-69,0,7083
16,F,69,60-69,0,5188
17,M,79,70-79,0,10500
18,F,73,70-79,0,3922
19,F,51,50-59,0,7580
20,M,42,40-49,0,7489
21,F,65,60-69,2,5000
22,M,75,70-79,0,0
23,M,41,40-49,0,7489
24,F,53,50-59,0,9939
25,M,59,50-59,2,7930
26,F,55,50-59,0,5562
27,M,76,70-79,0,2500
28,M,56,50-59,0,2835
29,M,43,40-49,0,5833
30,F,31,30-39,0,8160
31,M,74,70-79,0,5598
32,M,67,60-69,0,6862
33,F,63,60-69,0,7492
34,M,62,60-69,0,7492
35,M,57,50-59,0,7580
36,F,72,70-79,0,5598
37,M,69,60-69,0,7492
38,F,67,60-69,0,4453
39,F,50,50-59,0,7580
40,M,49,40-49,0,5866
41,F,62,60-69,0,6500
42,M,34,30-39,4,5800
43,M,59,50-59,1,5416
44,F,46,40-49,0,3732
45,M,54,50-59,0,7580
46,F,73,70-79,0,5598
47,M,49,40-49,0,8900
48,M,53,50-59,0,4166
49,M,83,80-89,0,4694
50,F,34,30-39,0,1000
51,M,65,60-69,0,3750
52,M,72,70-79,1,5866
53,F,84,80-89,1,3001
54,M,71,70-79,1,6000
55,M,56,50-59,1,12000
56,F,41,40-49,0,7489
57,M,45,40-49,0,7489
58,F,65,60-69,0,7492
59,F,57,50-59,1,7580
60,M,50,50-59,0,5000
61,F,49,40-49,2,6600
62,M,88,80-89,0,5067
63,M,79,70-79,0,4273
64,F,48,40-49,0,15000
65,M,37,30-39,0,6232
66,F,59,50-59,0,3213
67,M,55,50-59,1,10916
68,M,47,40-49,3,5560
69,M,23,20-29,0,2905
70,F,56,50-59,2,6860
71,M,54,50-59,1,0
72,M,69,60-69,0,3668
73,F,52,50-59,0,5115
74,M,76,70-79,0,5000
75,M,46,40-49,1,12040
76,F,76,70-79,0,2714
77,M,70,70-79,2,7500
78,F,67,60-69,0,7492
79,F,56,50-59,1,5583
80,M,37,30-39,0,5499
81,F,51,50-59,1,11000
82,M,43,40-49,2,1333
83,M,79,70-79,0,2600
84,F,43,40-49,3,4000
85,M,45,40-49,3,5666
86,F,38,30-39,1,4583
87,M,28,20-29,0,5500
88,M,44,40-49,3,51140
89,M,43,40-49,2,9166
90,F,58,50-59,0,7580
91,M,80,80-89,0,6500
92,M,25,20-29,0,5000
93,F,40,40-49,1,7489
94,M,52,50-59,0,3000
95,M,27,20-29,0,2800
96,F,28,20-29,0,3500
97,M,59,50-59,0,8110
98,F,45,40-49,1,5600
99,F,23,20-29,0,2200
100,M,62,60-69,0,7492
101,F,45,40-49,2,5200
102,M,90,90+,0,7083
103,M,64,60-69,0,7492
104,F,43,40-49,2,5708
105,M,51,50-59,1,13455
106,F,63,60-69,0,7492
107,M,37,30-39,4,12996
108,M,83,80-89,0,2000
109,M,63,60-69,0,7492
110,F,89,80-89,0,3400
111,M,50,50-59,2,15000
112,M,40,40-49,1,5600
113,F,50,50-59,2,4667
114,M,49,40-49,2,4000
115,M,63,60-69,0,2500
116,F,47,40-49,0,7489
117,M,45,40-49,0,10483
118,F,62,60-69,0,7492
119,F,63,60-69,0,9500
120,M,39,30-39,0,5499
121,F,54,50-59,0,3600
122,M,64,60-69,0,32000
123,M,43,40-49,0,8804
124,F,45,40-49,0,7489
125,M,43,40-49,2,7489
126,F,43,40-49,2,8500
127,M,53,50-59,0,9100
128,M,38,30-39,0,12800
129,M,57,50-59,0,6667
130,F,31,30-39,0,5499
131,M,35,30-39,0,5499
132,M,56,50-59,0,7580
133,F,52,50-59,2,4500
134,M,39,30-39,2,2608
135,M,109,90+,0,4388
136,F,50,50-59,0,7000
137,M,46,40-49,0,10000
138,F,54,50-59,1,3800
139,F,43,40-49,0,7489
140,M,37,30-39,2,6833
141,F,64,60-69,0,30452
142,M,49,40-49,1,4320
143,M,40,40-49,3,5000
144,F,54,50-59,0,7580
145,M,69,60-69,1,6477
146,F,80,80-89,0,5067
147,M,54,50-59,0,4930
148,M,44,40-49,0,3666
149,M,78,70-79,0,5598
150,F,39,30-39,1,8452
151,M,59,50-59,0,15000
152,M,45,40-49,0,2383
153,F,49,40-49,2,8400
154,M,45,40-49,2,4300
155,M,44,40-49,0,1000
156,F,42,40-49,0,2000
157,M,68,60-69,1,10000
158,F,62,60-69,2,1500
159,F,32,30-39,0,10630
160,M,63,60-69,0,7492
161,F,25,20-29,0,4166
162,M,33,30-39,0,2716
163,M,57,50-59,0,9166
164,F,62,60-69,3,17750
165,M,59,50-59,0,10300
166,F,64,60-69,0,7492
167,M,39,30-39,2,5916
168,M,56,50-59,1,2720
169,M,79,70-79,0,5598
170,F,40,40-49,0,1600
171,M,59,50-59,2,7000
172,M,50,50-59,0,5596
173,F,60,60-69,1,8136
174,M,51,50-59,1,24020
175,M,51,50-59,2,10728
176,F,72,70-79,2,4083
177,M,46,40-49,3,3700
178,F,63,60-69,0,7492
179,F,42,40-49,3,18000
180,M,66,60-69,0,8000
181,F,73,70-79,0,26500
182,M,51,50-59,0,7580
183,M,82,80-89,0,2607
184,F,46,40-49,0,2000
185,M,37,30-39,1,6777
186,F,55,50-59,0,7580
187,M,63,60-69,0,7492
188,M,63,60-69,0,4153
189,M,33,30-39,0,3333
190,F,47,40-49,4,9000
191,M,54,50-59,1,7580
192,M,82,80-89,0,9049
193,F,37,30-39,2,5417
